Indicadores,Total,Homens,Mulheres,Razao,Ano
Brasil,2748.772665887779,3061.4388893807654,2308.0153519706487,75.38988806787808,2015
Norte,2123.507004017373,2243.3943733833207,1918.424814249099,85.51438110972317,2015
Nordeste,1906.3779169482862,2033.7104791775807,1715.0374826308175,84.33046395691325,2015
Sudeste,3150.07173672156,3583.294628118591,2570.489576880075,71.73536768953076,2015
Sul,3009.138801994695,3422.2118901215003,2450.120098344725,71.59463461094273,2015
Centro-Oeste,3095.204050844986,3484.7531836892426,2541.6605060530683,72.93660044417436,2015
Brasil,3485.0400404674133,3970.793519894759,2858.3117184375023,71.98338831058781,2015
Norte,2946.387662390849,3137.0196624396735,2662.9393296754206,84.88755622285265,2015
Nordeste,2572.2311155213565,2791.9273525253025,2275.5187746337097,81.50350948693202,2015
Sudeste,3840.339765969045,4437.947043768097,3094.4886165296457,69.72793018959122,2015
Sul,3222.921255608613,3681.773881092389,2620.7919796125752,71.18286087778377,2015
Centro-Oeste,3848.728706486384,4372.17270332652,3152.1863979952923,72.09656644159975,2015
Brasil,2051.522125592757,2262.1860264164566,1729.7005076781104,76.46146194343443,2015
Norte,1907.5636402558252,2024.058302803383,1700.6142315260056,84.0200220107594,2015
Nordeste,1679.5359344286119,1789.6633760690445,1507.57151839191,84.23771411712391,2015
Sudeste,2263.200394579591,2562.852146420873,1829.0701771893298,71.3685406996147,2015
Sul,2191.1511368550373,2493.5465489423505,1731.4319501998277,69.43652008157709,2015
Centro-Oeste,2605.235345097476,2930.4845562601963,2124.125800873844,72.48377393206927,2015
Brasil,2858.8959880570724,3198.1742801626156,2377.53131662656,74.34026755120023,2014
Norte,2182.0357608684976,2343.185329916958,1900.0458561074115,81.08815943187682,2014
Nordeste,1955.0275061151538,2101.6284582494163,1731.124623327354,82.37063104718904,2014
Sudeste,3280.249537745728,3747.331069637036,2656.8576856576237,70.89999886012114,2014
Sul,3147.3207460332364,3609.6542371659634,2516.2762993597785,69.70962131085925,2014
Centro-Oeste,3230.816251377008,3600.052333904319,2698.470132224277,74.95641401684125,2014
Brasil,3639.217993085657,4172.3215428432995,2948.7962398748446,70.6751914874072,2014
Norte,3073.113776776529,3455.4162388218724,2503.543495393952,72.4527328217783,2014
Nordeste,2605.178563216756,2863.048531647847,2260.3717312001,78.94982240832388,2014
Sudeste,4025.376684511834,4672.038696333017,3214.899725658182,68.81149610728798,2014
Sul,3366.333106449606,3875.0270185535787,2691.4898776295418,69.45731900042821,2014
Centro-Oeste,4000.264854387822,4477.16278254668,3361.8176409002313,75.0881262125559,2014
Brasil,2095.7325356491365,2316.5191275065577,1753.9104376417083,75.71318608232572,2014
Norte,1951.5735724650908,2079.3506071467323,1718.3307143115585,82.63785378019716,2014
Nordeste,1719.1560436322702,1842.1953264457004,1522.0733188818451,82.62279775828695,2014
Sudeste,2292.8961816718006,2600.9160018592625,1847.0645560351754,71.01592495546964,2014
Sul,2269.979508594521,2615.4966974298673,1745.2558586225864,66.7275114641732,2014
Centro-Oeste,2709.9264609379816,3035.510594797644,2217.8160403396337,73.06237191662576,2014
Brasil,2774.3552115704247,3119.331641957115,2282.949022264191,73.18712097030615,2013
Norte,2151.875248640601,2278.633632029898,1933.0286578448608,84.83279763244967,2013
Nordeste,1895.0332348760492,2031.9032261283032,1683.9226332714431,82.87415520669649,2013
Sudeste,3153.3658675419883,3628.6386699888994,2514.742730878074,69.30264927386024,2013
Sul,3067.563091663689,3514.1579998333623,2452.8376371199624,69.7987295174626,2013
Centro-Oeste,3164.9835178342573,3617.413352004606,2521.778872667693,69.7122122156772,2013
Brasil,3535.502276392109,4078.0375521969268,2825.556456161682,69.28716128765156,2013
Norte,3200.507739069561,3461.166728584845,2813.728558727448,81.29422184402794,2013
Nordeste,2589.0422965128805,2799.0552451071376,2300.624239796042,82.19288432472445,2013
Sudeste,3867.2897275053306,4534.435929207691,3011.9803683953505,66.42458765365417,2013
Sul,3273.706890115202,3777.5978398731563,2608.156122436044,69.04271531782801,2013
Centro-Oeste,4011.0471702761106,4640.4170939809665,3213.904516863112,69.25895779997518,2013
Brasil,2030.6610403986094,2254.9996335561855,1683.1512245799381,74.64086466061063,2013
Norte,1865.2913826098127,1982.1776514450858,1654.0885088468706,83.4480455190772,2013
Nordeste,1637.253391271472,1763.3701751371334,1433.7537804288113,81.30758933343711,2013
Sudeste,2233.702790319364,2537.7425685833,1799.3639713052899,70.90411744599407,2013
Sul,2244.1312644831746,2547.4512407487396,1753.8543550548459,68.84741607613098,2013
Centro-Oeste,2603.8855315910746,2994.26551959308,2003.91520317317,66.92510033129932,2013
Brasil,2684.427598624246,3011.6313811518426,2212.3778329884876,73.4611097106556,2012
Norte,2174.121846138008,2307.474917908993,1947.661866919195,84.4066321936077,2012
Nordeste,1809.2916006683395,1931.2925154293914,1619.5094757838087,83.85624978325653,2012
Sudeste,3043.808107761555,3495.032660709107,2425.1439479134033,69.38830572820358,2012
Sul,2966.4227777400274,3405.4591473286987,2359.547299520984,69.28720026995049,2012
Centro-Oeste,3116.3646957205724,3504.7368873429045,2550.6011463245386,72.77582392948938,2012
Brasil,3425.4304174437952,3948.5118868453455,2730.3092266367153,69.14780314408752,2012
Norte,3118.859376325323,3438.1414941745343,2652.400640715921,77.14634913106558,2012
Nordeste,2438.082364629511,2603.5822050919132,2206.793095342442,84.75987779554426,2012
Sudeste,3741.3422159336706,4372.224164858691,2911.1665736376735,66.58319573447034,2012
Sul,3169.4872420308257,3671.6790450325957,2505.6688162889013,68.24313306139364,2012
Centro-Oeste,4037.4506859798744,4690.567939881761,3210.4736703194144,68.44530793429556,2012
Brasil,1956.800252524175,2154.1725328616903,1647.928579512126,76.49937757413286,2012
Norte,1899.3256544318929,2002.0618451084097,1716.4679469241335,85.73501118948643,2012
Nordeste,1579.0270514841604,1698.60575078265,1385.3294569458974,81.55685663418912,2012
Sudeste,2138.9385198840428,2407.665552118455,1750.326149657246,72.69806008218917,2012
Sul,2122.3451095855553,2402.3398303333274,1658.890765868646,69.05312666103833,2012
Centro-Oeste,2505.3335997511085,2794.088310408383,2042.8694663687186,73.11399066231135,2012
